tune_id,annotated_key,Krumhansl-Schmuckler,Aarden-Essen,Simple Weights,Bellman-Budge,Temperley-Kostka-Payne,Albrecht-Shanahan
chor001,G major,G major (0.95),G major (0.95),G major (0.97),G major (0.97),G major (0.97),G major (0.99)
chor002,A major,E major (0.85),A major (0.96),A major (0.92),A major (0.95),A major (0.94),A major (0.92)
chor003,A dorian,A minor (0.77),A minor (0.89),A minor (0.91),A minor (0.95),A minor (0.91),A minor (0.95)
chor004,E major,E major (0.89),E major (0.91),E major (0.95),E major (0.93),E major (0.91),E major (0.95)
chor005,G major,G major (0.89),G major (0.93),G major (0.94),G major (0.93),G major (0.93),G major (0.93)
chor006,F major,F major (0.96),F major (0.93),F major (0.95),F major (0.93),F major (0.95),F major (0.99)
chor007,A major,A major (0.91),A major (0.93),A major (0.95),A major (0.94),A major (0.96),A major (0.95)
chor008,F dorian,F minor (0.90),F minor (0.94),F minor (0.97),F minor (0.88),F minor (0.92),F minor (0.97)
chor009,G major,D major (0.82),G major (0.93),G major (0.87),G major (0.92),G major (0.92),G major (0.85)
chor010,A minor,A minor (0.78),A minor (0.93),A minor (0.89),A minor (0.87),A minor (0.87),A minor (0.92)
chor011,C major,C major (0.89),C major (0.96),C major (0.95),C major (0.95),C major (0.96),C major (0.94)
chor012,A minor,C major (0.83),A minor (0.92),C major (0.86),C major (0.83),C major (0.89),C major (0.86)
chor013,A minor,A minor (0.86),A minor (0.95),A minor (0.90),A minor (0.81),A minor (0.86),A minor (0.93)
chor014,G major,G major (0.92),G major (0.94),G major (0.96),G major (0.95),G major (0.98),G major (0.97)
chor015,D dorian,D minor (0.88),D minor (0.91),D minor (0.93),D minor (0.87),D minor (0.88),D minor (0.98)
chor016,B minor,F# minor (0.76),B minor (0.93),B minor (0.88),B minor (0.87),B minor (0.87),B minor (0.90)
chor017,E minor,B minor (0.75),E minor (0.92),E minor (0.84),E minor (0.78),E minor (0.77),E minor (0.89)
chor018,G major,G major (0.89),G major (0.92),G major (0.97),G major (0.97),G major (0.94),G major (0.96)
chor019,G dorian,G minor (0.72),G minor (0.86),G minor (0.92),G minor (0.94),G minor (0.89),G minor (0.94)
chor020,D major,D major (0.87),D major (0.91),D major (0.93),D major (0.92),D major (0.94),D major (0.92)
chor021,A minor,A minor (0.85),A minor (0.90),A minor (0.85),A minor (0.72),A minor (0.77),A minor (0.89)
chor022,E- major,E- major (0.93),E- major (0.93),E- major (0.98),E- major (0.97),E- major (0.97),E- major (0.99)
chor023,A minor,A minor (0.84),A minor (0.95),A minor (0.94),A minor (0.89),A minor (0.89),A minor (0.97)
chor024,D major,D major (0.94),D major (0.92),D major (0.96),D major (0.93),D major (0.95),D major (0.98)
chor025,F dorian,C minor (0.80),F minor (0.92),F minor (0.86),F minor (0.83),A- major (0.87),F minor (0.88)
chor026,F major,F major (0.92),F major (0.98),F major (0.94),F major (0.97),F major (0.99),F major (0.95)
chor027,B- major,B- major (0.91),B- major (0.92),B- major (0.97),B- major (0.97),B- major (0.95),B- major (0.98)
chor028,B minor,B minor (0.97),B minor (0.92),B minor (0.92),B minor (0.84),B minor (0.90),B minor (0.96)
chor029,G major,G major (0.96),G major (0.93),G major (0.98),G major (0.96),G major (0.96),G major (1.00)
chor030,E minor,E minor (0.97),E minor (0.89),E minor (0.89),E minor (0.81),E minor (0.89),E minor (0.91)
chor031,A minor,C major (0.81),A minor (0.95),C major (0.87),C major (0.86),C major (0.91),C major (0.85)
chor032,A major,A major (0.90),A major (0.95),A major (0.95),A major (0.97),A major (0.95),A major (0.97)
chor033,A minor,A minor (0.88),A minor (0.92),A minor (0.98),A minor (0.93),A minor (0.93),A minor (1.00)
chor034,E phrygian,C major (0.89),A minor (0.90),C major (0.92),C major (0.89),C major (0.94),C major (0.90)
chor035,A major,E major (0.91),A major (0.92),A major (0.95),A major (0.96),A major (0.93),A major (0.95)
chor036,A major,A major (0.95),A major (0.93),A major (0.97),A major (0.95),A major (0.98),A major (0.98)
chor037,A minor,A minor (0.81),A minor (0.96),A minor (0.94),A minor (0.92),A minor (0.92),A minor (0.97)
chor038,E- major,B- major (0.89),E- major (0.91),E- major (0.95),E- major (0.94),E- major (0.92),E- major (0.95)
chor039,E minor,G major (0.81),E minor (0.94),G major (0.84),G major (0.84),G major (0.91),E minor (0.86)
chor040,C major,G major (0.94),G major (0.83),C major (0.90),C major (0.89),G major (0.86),C major (0.89)
chor041,A minor,A minor (0.82),A minor (0.95),A minor (0.89),A minor (0.82),A minor (0.84),A minor (0.94)
chor042,A major,A major (0.95),A major (0.93),A major (0.98),A major (0.96),A major (0.97),A major (0.99)
chor043,E major,B major (0.86),E major (0.88),E major (0.93),E major (0.92),E major (0.92),E major (0.91)
chor044,D major,A major (0.91),D major (0.93),D major (0.94),D major (0.97),D major (0.93),D major (0.92)
chor045,B minor,B minor (0.84),B minor (0.97),B minor (0.94),B minor (0.93),B minor (0.92),B minor (0.97)
chor046,D major,D major (0.91),D major (0.93),D major (0.97),D major (0.97),D major (0.95),D major (0.98)
chor047,D minor,D minor (0.82),D minor (0.95),D minor (0.90),D minor (0.87),D minor (0.87),D minor (0.95)
chor048,A minor,A minor (0.91),A minor (0.95),A minor (0.91),A minor (0.83),A minor (0.87),A minor (0.95)
chor049,D dorian,A minor (0.82),D minor (0.88),D minor (0.86),D minor (0.84),D minor (0.81),D minor (0.92)
chor050,F major,F major (0.89),F major (0.95),F major (0.97),F major (0.97),F major (0.95),F major (0.96)
chor051,G major,G major (0.96),G major (0.94),G major (0.98),G major (0.97),G major (0.96),G major (0.98)
chor052,A major,A major (0.90),A major (0.96),A major (0.94),A major (0.95),A major (0.97),A major (0.94)
chor053,G minor,D minor (0.78),G minor (0.87),G minor (0.87),G minor (0.89),G minor (0.86),G minor (0.92)
chor054,G major,G major (0.92),G major (0.93),G major (0.97),G major (0.97),G major (0.95),G major (0.98)
chor055,B minor,B minor (0.82),B minor (0.96),B minor (0.91),B minor (0.92),B minor (0.91),B minor (0.97)
chor056,B minor,B minor (0.86),B minor (0.90),B minor (0.93),B minor (0.83),B minor (0.87),B minor (0.94)
chor057,A minor,A minor (0.79),A minor (0.91),A minor (0.88),A minor (0.94),A minor (0.93),A minor (0.92)
chor058,D major,D major (0.86),B minor (0.89),D major (0.92),D major (0.91),D major (0.94),D major (0.92)
chor059,G minor,G minor (0.91),G minor (0.95),G minor (0.91),G minor (0.86),G minor (0.92),G minor (0.93)
chor060,D major,A major (0.93),D major (0.89),D major (0.93),D major (0.93),D major (0.90),D major (0.91)
chor061,E- major,E- major (0.90),E- major (0.97),E- major (0.95),E- major (0.96),E- major (0.97),E- major (0.96)
chor062,B minor,B minor (0.88),B minor (0.93),B minor (0.94),B minor (0.93),B minor (0.94),B minor (0.98)
chor063,A major,A major (0.91),A major (0.97),A major (0.97),A major (0.98),A major (0.98),A major (0.97)
chor064,G major,G major (0.94),G major (0.95),G major (0.96),G major (0.95),G major (0.97),G major (0.99)
chor065,G major,G major (0.91),G major (0.93),G major (0.97),G major (0.96),G major (0.95),G major (0.97)
chor066,A minor,A minor (0.81),A minor (0.89),A minor (0.90),A minor (0.77),A minor (0.82),A minor (0.90)
chor067,G major,G major (0.93),G major (0.95),G major (0.97),G major (0.97),G major (0.98),G major (0.98)
chor068,F major,F major (0.92),F major (0.93),F major (0.97),F major (0.96),F major (0.95),F major (0.98)
chor069,G major,G major (0.88),G major (0.95),G major (0.97),G major (0.98),G major (0.96),G major (0.95)
chor070,G mixolydian,G major (0.98),G major (0.89),G major (0.92),C major (0.90),G major (0.91),G major (0.95)
chor071,E minor,E minor (0.91),E minor (0.94),E minor (0.96),E minor (0.88),E minor (0.93),E minor (0.95)
chor072,G minor,G minor (0.88),G minor (0.97),G minor (0.94),G minor (0.91),G minor (0.94),G minor (0.96)
chor073,G minor,G minor (0.82),G minor (0.92),G minor (0.97),G minor (0.92),G minor (0.91),G minor (0.99)
chor074,F major,F major (0.87),D minor (0.89),F major (0.89),F major (0.86),F major (0.91),F major (0.89)
chor075,D minor,F major (0.90),F major (0.93),F major (0.94),F major (0.93),F major (0.95),F major (0.95)
chor076,G major,G major (0.87),G major (0.95),G major (0.93),G major (0.94),G major (0.95),G major (0.94)
chor077,A major,A major (0.94),A major (0.95),A major (0.98),A major (0.96),A major (0.95),A major (0.98)
chor078,B minor,B minor (0.91),B minor (0.94),B minor (0.97),B minor (0.91),B minor (0.95),B minor (0.97)
chor079,A minor,A minor (0.78),A minor (0.91),A minor (0.88),A minor (0.88),A minor (0.90),A minor (0.90)
chor080,D major,D major (0.88),D major (0.86),D major (0.90),D major (0.85),D major (0.89),D major (0.88)
chor081,A minor,A minor (0.85),A minor (0.92),A minor (0.97),A minor (0.91),A minor (0.91),A minor (0.98)
chor082,G dorian,G minor (0.77),G minor (0.96),G minor (0.91),G minor (0.87),G minor (0.88),G minor (0.93)
chor083,A major,A major (0.87),A major (0.95),A major (0.92),A major (0.94),A major (0.96),A major (0.93)
chor084,A major,A major (0.93),A major (0.94),A major (0.95),A major (0.95),A major (0.98),A major (0.97)
chor085,E major,E major (0.95),E major (0.92),E major (0.99),E major (0.96),E major (0.95),E major (0.98)
chor086,D major,D major (0.89),D major (0.94),D major (0.96),D major (0.97),D major (0.95),D major (0.97)
chor087,C dorian,C minor (0.91),C minor (0.92),C minor (0.91),C minor (0.84),C minor (0.88),C minor (0.96)
chor088,A minor,A minor (0.84),A minor (0.95),A minor (0.94),A minor (0.89),A minor (0.89),A minor (0.97)
chor089,B minor,B minor (0.86),B minor (0.93),B minor (0.87),B minor (0.76),B minor (0.82),B minor (0.91)
chor090,B- major,B- major (0.91),B- major (0.92),B- major (0.98),B- major (0.97),B- major (0.94),B- major (0.98)
chor091,F# minor,F# minor (0.86),F# minor (0.92),A major (0.86),A major (0.85),A major (0.90),F# minor (0.86)
chor092,B minor,B minor (0.80),B minor (0.95),B minor (0.93),B minor (0.89),B minor (0.88),B minor (0.97)
chor093,B- major,B- major (0.90),B- major (0.92),B- major (0.94),B- major (0.93),B- major (0.95),B- major (0.96)
chor094,G minor,G minor (0.87),G minor (0.90),G minor (0.97),G minor (0.92),G minor (0.92),G minor (0.99)
chor095,B- major,B- major (0.92),B- major (0.95),B- major (0.94),B- major (0.95),B- major (0.94),B- major (0.93)
chor096,D minor,D minor (0.87),D minor (0.90),D minor (0.93),D minor (0.92),D minor (0.91),D minor (0.98)
chor097,A major,A major (0.96),A major (0.93),A major (0.98),A major (0.96),A major (0.98),A major (0.99)
