title,entropy,npvi,rests
chor001,5.04999,29.4915,0
chor002,4.91961,32.2034,0
chor003,4.96308,23.268,0
chor004,4.82305,21.9444,0
chor005,4.78211,22.8807,0
chor006,5.03701,21.2121,1
chor007,5.46394,33.0337,0
chor008,5.55906,14.5679,0
chor009,5.13429,16.129,0
chor010,4.99237,26.6667,0
chor011,5.97985,25.0329,1
chor012,4.82807,13.0081,0
chor013,5.15774,23.29,1
chor014,5.1621,22.1858,0
chor015,5.07228,24.1429,0
chor016,5.3485,21.4612,1
chor017,5.08952,36.5891,0
chor018,4.31705,26.6667,0
chor019,5.17513,22.2222,0
chor020,4.85533,25.5556,0
chor021,4.66679,9.30233,0
chor022,4.76928,31.0383,0
chor023,5.01116,26,1
chor024,5.66452,23.4316,0
chor025,5.0529,26.9558,2
chor026,4.8077,17.3913,0
chor027,4.57755,21.7054,0
chor028,4.62609,32.3333,0
chor029,4.82027,32.9825,0
chor030,4.60245,32.5778,2
chor031,4.90349,19.7531,0
chor032,5.42903,31.2151,4
chor033,5.11134,24.3137,1
chor034,5.31503,18.75,0
chor035,4.68927,23.9394,0
chor036,5.37223,32.0219,1
chor037,5.09721,25.625,0
chor038,5.22402,23.4483,0
chor039,5.31065,20.0939,0
chor040,4.52774,15.2381,0
chor041,5.4238,24.0574,0
chor042,4.51523,19.888,0
chor043,4.98267,38.7291,9
chor044,4.90484,19.5122,0
chor045,5.41723,8.79121,0
chor046,5.35155,19.359,0
chor047,4.99579,18.5185,0
chor048,5.36089,12.327,0
chor049,5.17174,18.8132,0
chor050,4.89146,25.641,0
chor051,5.24367,24.0936,0
chor052,4.91776,25.4863,0
chor053,5.19718,39.6748,0
chor054,4.57871,20.8333,1
chor055,5.06941,24.4898,0
chor056,5.44017,33.1887,0
chor057,4.48583,18.75,0
chor058,5.24616,17.0213,0
chor059,4.78745,16.6667,0
chor060,4.918,34.5736,2
chor061,5.24422,38.2672,0
chor062,4.65591,26.3158,1
chor063,5.03906,26.4,0
chor064,4.99855,21.9355,0
chor065,4.81902,21.0667,0
